r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.25,0.3125,"[-3.2157351578311135221, -3.2157351578311135221]","[-0.67545342135561037278, -0.67545342135561037278]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.25,0.3125,"[-2.8885335430550340696, -2.8885335430550340696]","[-0.27872467516944027244, -0.27872467516944027244]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.3125,0.375,"[-3.377120455951425182, -3.377120455951425182]","[-0.8331888151878258375, -0.8331888151878258375]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.3125,0.375,"[-3.0434276465250831301, -3.0434276465250831301]","[-0.43120848436665099035, -0.43120848436665099035]"
0.519635625,0.5273834375,0.93300004446231928204345703125,0.966500022231159641021728515625,0.375,0.4375,"[-3.5525236138182747503, -3.5525236138182747503]","[-1.00289959513011806, -1.00289959513011806]"
0.519635625,0.5273834375,0.966500022231159641021728515625,1,0.375,0.4375,"[-3.2134902887916019232, -3.2134902887916019232]","[-0.59649379467316288039, -0.59649379467316288039]"
0.519635625,0.5273834375,0.93300004446231928204345703125,1,0.4375,0.5,"[-4.4181237612072497001, -4.4181237612072497001]","[-0.068448022884639553309, -0.068448022884639553309]"
0.519635625,0.5273834375,0.93300004446231928204345703125,1,0.5,0.625,"[-4.9642737016453022392, -4.9642737016453022392]","[-0.1078870654717909161, -0.1078870654717909161]"
0.519635625,0.5273834375,0.93300004446231928204345703125,1,0.625,0.75,"[-5.387236924072398736, -5.387236924072398736]","[-0.51579800659967156573, -0.51579800659967156573]"
0.519635625,0.5273834375,0.93300004446231928204345703125,1,0.75,1,"[-6.5400100163040857382, -6.5400100163040857382]","[-0.71733211037093036477, -0.71733211037093036477]"
0.5273834375,0.5351312500000001,0.914553566143524665655727164062517892124999999998,0.957276783071762332827863582031258946062499999999,0,0.0625,"[-3.1893357054804503115, -3.1893357054804503115]","[-0.17236689081749420605, -0.17236689081749420605]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,0.9786383915358811664139317910156294730312499999995,0,0.03125,"[-2.2286167406808465863, -2.2286167406808465863]","[-0.54737701012680994861, -0.54737701012680994861]"
0.5273834375,0.5351312500000001,0.9786383915358811664139317910156294730312499999995,1,0,0.03125,"[-2.0424073652950602842, -2.0424073652950602842]","[-0.32591240663440274039, -0.32591240663440274039]"
0.5273834375,0.5351312500000001,0.957276783071762332827863582031258946062499999999,0.9786383915358811664139317910156294730312499999995,0.03125,0.0625,"[-2.2352350025050795601, -2.2352350025050795601]","[-0.56183584922085338942, -0.56183584922085338942]"
0.5273834375,0.5351312500000001,0.9786383915358811664139317910156294730312499999995,1,0.03125,0.0625,"[-2.0411138355676086142, -2.0411138355676086142]","[-0.33460830200440255799, -0.33460830200440255799]"
